model,session,trial_number,state,p_state0,p_state1,p_state2,p_go,actual_choice,pupil_zscore,stim_strength
Original,240-R-mPFC-S1-NE_2022_12_22,1,1,6.137447857240012e-05,0.9693898300790595,0.030548795442368232,0.9984165822222179,1,1.8355694935957216,1.0
Original,240-R-mPFC-S1-NE_2022_12_22,2,1,3.43383156391585e-05,0.9700462686999419,0.029919392984418924,0.7641705016689999,1,-0.5169229322305857,0.025
Original,240-R-mPFC-S1-NE_2022_12_22,3,1,2.0612296435297016e-05,0.969861937020829,0.030117450682735247,0.8257830127599513,1,-0.2808340071672646,0.1
Original,240-R-mPFC-S1-NE_2022_12_22,4,1,8.765916581148493e-05,0.9693856604911091,0.030526680343078615,0.696273631292624,0,1.3142676804005946,0.1
Original,240-R-mPFC-S1-NE_2022_12_22,5,1,2.5360711606255883e-05,0.9693288965689784,0.03064574271941518,0.9063384116276276,1,0.2945558145426283,0.25
Original,240-R-mPFC-S1-NE_2022_12_22,6,1,0.00012003567974261723,0.9692963103580968,0.030583653962159913,0.6480527047085389,0,0.3670619179233413,0.0
Original,240-R-mPFC-S1-NE_2022_12_22,7,1,0.00012716289886163665,0.9697561852940741,0.03011665180706374,0.6512874295259229,0,0.3358533982191356,0.0
Original,240-R-mPFC-S1-NE_2022_12_22,8,1,5.2334776781420725e-05,0.9711812534905956,0.028766411732623773,0.7831935734154288,1,-0.3985041556598751,0.05
Original,240-R-mPFC-S1-NE_2022_12_22,9,1,6.747863483751222e-05,0.9715212804685533,0.028411240896609312,0.6961426987102709,1,-0.11274527505780954,0.0
Original,240-R-mPFC-S1-NE_2022_12_22,10,1,9.178893552937946e-05,0.9706516680012021,0.02925654306326855,0.7450650807629736,0,-0.6473630067460197,0.0
Original,240-R-mPFC-S1-NE_2022_12_22,11,1,3.107945836387915e-05,0.9705724160764332,0.029396504465203453,0.9886442362825373,1,-0.9585527353905836,0.5
Original,240-R-mPFC-S1-NE_2022_12_22,12,1,4.248094769370407e-06,0.9704953340240573,0.029500417881172965,0.9423527003202462,1,2.7141744464606083,0.5
Original,240-R-mPFC-S1-NE_2022_12_22,13,1,2.202377491097563e-05,0.97044165933324,0.029536316891848425,0.9988876614660582,1,1.0591310788250288,1.0
Original,240-R-mPFC-S1-NE_2022_12_22,14,1,1.4671239116112621e-05,0.970385214456608,0.029600114304275348,0.876360625632164,1,-1.1643979986991095,0.1
Original,240-R-mPFC-S1-NE_2022_12_22,15,1,3.330472294178285e-05,0.9701387985710521,0.029827896706006725,0.9889722791841907,1,-1.0236488730991415,0.5
Original,240-R-mPFC-S1-NE_2022_12_22,16,1,8.199053971702795e-05,0.9698945289426865,0.030023480517596842,0.8225928687787727,0,-0.9466754643004386,0.05
Original,240-R-mPFC-S1-NE_2022_12_22,17,1,1.6303617914919664e-05,0.9703254525650827,0.029658243817002175,0.8309849413127344,1,-0.36118777877212666,0.1
Original,240-R-mPFC-S1-NE_2022_12_22,18,1,1.5098436066129307e-05,0.9704826567041479,0.029502244859786607,0.8104731999766296,1,-0.7689730977013164,0.05
Original,240-R-mPFC-S1-NE_2022_12_22,19,1,1.2553697922944104e-05,0.9701206291735274,0.029866817128549127,0.982689008998323,1,-0.01947780595393712,0.5
Original,240-R-mPFC-S1-NE_2022_12_22,20,1,1.8181340817486366e-05,0.9697635814476816,0.030218237211500805,0.9863227000233581,1,-0.5449348239051722,0.5
Original,240-R-mPFC-S1-NE_2022_12_22,21,1,3.319525927987869e-05,0.9694095727153179,0.030557232025402226,0.7827055095656753,1,-1.106383852003808,0.0
Original,240-R-mPFC-S1-NE_2022_12_22,22,1,1.2313257374230839e-05,0.9663858314373682,0.03360185530525826,0.7985495097746866,1,0.11173463555668942,0.1
Original,240-R-mPFC-S1-NE_2022_12_22,23,1,4.116220733450115e-05,0.9609027715781244,0.039056066214540774,0.8840373234784714,1,0.8182533411634416,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,1,2,0.2186543613071621,0.0010176464234986076,0.7803279922693407,0.49251523066177877,0,-0.2876714256830299,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,2,2,0.24638926522466476,0.0004319529123560611,0.7531787818629805,0.1040173037200909,0,-0.7328887412825744,0.0
Original,240-R-mPFC-S1-NE_2022_12_23,3,2,0.2724639257155196,0.00027661006581705845,0.7272594642186611,0.0699219964909939,0,0.23684390451274825,0.0
Original,240-R-mPFC-S1-NE_2022_12_23,4,2,0.29765625254046957,0.00022536968592596542,0.7021183777736019,0.9999999989574171,1,0.14697757008703927,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,5,2,0.35982147842668855,0.00017650922360379603,0.6400020123497095,0.11625229825509711,0,0.28426832419399267,0.025
Original,240-R-mPFC-S1-NE_2022_12_23,6,2,0.4184552377673854,0.00016871778256169684,0.5813760444500533,0.9469242324870542,0,0.9909600626935795,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,7,2,0.3236550105244675,0.00012901971217714678,0.6762159697633534,0.9999999992297615,1,-0.528686705279149,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,8,2,0.27025796966862714,8.730434153720069e-05,0.7296547259898383,0.4634988154052097,0,-0.028070735262868393,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,9,2,0.17315456189983663,7.646213709371122e-05,0.8267689759630705,0.9999999983180357,1,1.214318413815277,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,10,2,0.14222240125236535,6.348253198083907e-05,0.857714116215655,0.1538768011003689,0,0.8574464246596196,0.05
Original,240-R-mPFC-S1-NE_2022_12_23,11,2,0.10527572713818809,6.691614890975547e-05,0.8946573567129033,0.4381259474678045,0,0.20069380703159112,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,12,2,0.03906689571949446,9.2487462726605e-05,0.9608406168177769,0.999999998870476,1,0.3257266537370947,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,13,2,0.006658263723491118,0.00011654758966997407,0.9932251886868358,0.1812442495065242,1,0.41875359234565024,0.05
Original,240-R-mPFC-S1-NE_2022_12_23,14,2,0.001096907626286442,9.593782577857352e-05,0.9988071545479376,0.9616504077676731,1,0.23126680521567913,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,15,2,0.002361131567708775,7.33972785333381e-05,0.9975654711537595,0.9999999993000117,1,-0.7421202297069178,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,16,2,0.0024543839354978637,4.7005168960002234e-05,0.9974986108955411,0.9761393552634998,1,-0.8610838254626095,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,17,2,0.011723591779144,1.8174727960011497e-05,0.9882582334928957,0.1704074506896516,0,-0.7103303233421592,0.025
Original,240-R-mPFC-S1-NE_2022_12_23,18,2,0.01717180689022856,1.1693102251988299e-05,0.9828165000075195,0.3252847773112125,0,1.2737413497080612,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,19,2,0.016384047830565886,9.795820515011192e-06,0.9836061563489206,0.9660392974450932,1,-0.050137141456644614,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,20,2,0.0635961122510499,5.229070940231084e-06,0.9363986586780118,0.5698157167134841,0,-0.9818241614453205,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,21,2,0.08206037862921188,5.079169834343816e-06,0.9179345422009534,0.18289724124370868,0,0.39398193031153017,0.05
Original,240-R-mPFC-S1-NE_2022_12_23,22,2,0.09492230473621376,8.165562084715714e-06,0.9050695297016992,0.9999999992849933,1,-0.6947444053601952,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,23,2,0.11973699465030616,8.223051343302015e-06,0.8802547822983503,0.9999999992438762,1,-0.5699623489318196,1.0
Original,240-R-mPFC-S1-NE_2022_12_23,24,2,0.16401567906433506,5.495580219965557e-06,0.8359788253554463,0.4804339024688988,0,-0.1797390586425199,0.1
Original,240-R-mPFC-S1-NE_2022_12_23,25,2,0.18300544750652264,6.206841423102115e-06,0.816988345652056,0.9999249225291157,1,-0.8125302694401786,0.5
Original,240-R-mPFC-S1-NE_2022_12_23,26,2,0.29156546625402807,4.770595708498373e-06,0.7084297631502635,0.17976637720884253,0,-0.8549702556741439,0.025
Original,240-R-mPFC-S1-NE_2022_12_23,27,2,0.3898045962939691,8.328095314526781e-06,0.6101870756107185,0.9751163684141407,0,-0.7650570482223831,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,28,2,0.2726793333032316,4.37630801611891e-06,0.7273162903887549,0.2599869796511925,0,-0.6120825696409744,0.05
Original,240-R-mPFC-S1-NE_2022_12_23,29,2,0.12872959698474942,4.9686613121296086e-06,0.8712654343539419,0.9999355385323928,1,-1.152784700347058,0.5
Original,240-R-mPFC-S1-NE_2022_12_23,30,2,0.09160770458942023,3.246931729922161e-06,0.9083890484788464,0.12864133318082233,0,0.026766189249264976,0.025
Original,240-R-mPFC-S1-NE_2022_12_23,31,2,0.04988014669837634,3.8076263575264e-06,0.9501160456752675,0.9727267372314897,1,-0.5549409569559504,0.25
Original,240-R-mPFC-S1-NE_2022_12_23,32,2,0.05938290423877832,1.4735203631311527e-06,0.9406156222408604,0.2439981069701965,0,-1.718748749791891,0.025
Original,240-R-mPFC-S1-NE_2022_12_23,33,2,0.06372188229294988,1.596850089749258e-06,0.9362765208569572,0.23771002873544406,0,-0.3459750980755972,0.05
Original,240-R-mPFC-S1-NE_2022_12_23,34,2,0.062205164456626744,2.7762797602740967e-06,0.9377920592636109,0.047567554909445295,0,1.1495691944291822,0.0
