model,session,trial_number,state,state_label,p_state0,p_state1,p_state2,p_go,actual_choice,pupil_zscore,stim_strength
corrected,240-R-mPFC-S1-NE_2022_12_22,1,0,Liberal,0.983782,0.000131046,0.0160868,0.999199,1,1.83557,1
corrected,240-R-mPFC-S1-NE_2022_12_22,2,0,Liberal,0.98433,1.88555e-05,0.0156511,0.70735,1,-0.516923,0.025
corrected,240-R-mPFC-S1-NE_2022_12_22,3,0,Liberal,0.984242,6.90804e-06,0.0157516,0.798602,1,-0.280834,0.1
corrected,240-R-mPFC-S1-NE_2022_12_22,4,0,Liberal,0.984106,0.000193907,0.0157001,0.798475,0,1.31427,0.1
corrected,240-R-mPFC-S1-NE_2022_12_22,5,0,Liberal,0.984222,6.53046e-05,0.0157127,0.91569,1,0.294556,0.25
corrected,240-R-mPFC-S1-NE_2022_12_22,6,0,Liberal,0.984326,0.000240274,0.0154335,0.67321,0,0.367062,0
corrected,240-R-mPFC-S1-NE_2022_12_22,7,0,Liberal,0.984921,0.00030976,0.0147692,0.673564,0,0.335853,0
corrected,240-R-mPFC-S1-NE_2022_12_22,8,0,Liberal,0.986522,3.01469e-05,0.0134481,0.740858,1,-0.398504,0.05
corrected,240-R-mPFC-S1-NE_2022_12_22,9,0,Liberal,0.986941,3.39219e-05,0.0130248,0.674797,1,-0.112745,0
corrected,240-R-mPFC-S1-NE_2022_12_22,10,0,Liberal,0.986582,5.37727e-05,0.0133639,0.67458,0,-0.647363,0
corrected,240-R-mPFC-S1-NE_2022_12_22,11,0,Liberal,0.986566,1.85881e-06,0.0134319,0.981961,1,-0.958553,0.5
corrected,240-R-mPFC-S1-NE_2022_12_22,12,0,Liberal,0.986825,4.84125e-05,0.0131263,0.981916,1,2.71417,0.5
corrected,240-R-mPFC-S1-NE_2022_12_22,13,0,Liberal,0.98693,9.68996e-05,0.0129734,0.999214,1,1.05913,1
corrected,240-R-mPFC-S1-NE_2022_12_22,14,0,Liberal,0.986877,7.48979e-06,0.013116,0.799453,1,-1.1644,0.1
corrected,240-R-mPFC-S1-NE_2022_12_22,15,0,Liberal,0.986669,6.70906e-06,0.0133244,0.981955,1,-1.02365,0.5
corrected,240-R-mPFC-S1-NE_2022_12_22,16,0,Liberal,0.986475,2.80956e-05,0.0134969,0.740834,0,-0.946675,0.05
corrected,240-R-mPFC-S1-NE_2022_12_22,17,0,Liberal,0.986673,4.7505e-06,0.0133217,0.799388,1,-0.361188,0.1
corrected,240-R-mPFC-S1-NE_2022_12_22,18,0,Liberal,0.986682,2.37441e-06,0.0133153,0.740948,1,-0.768973,0.05
corrected,240-R-mPFC-S1-NE_2022_12_22,19,0,Liberal,0.98637,6.31215e-06,0.013624,0.981961,1,-0.0194778,0.5
corrected,240-R-mPFC-S1-NE_2022_12_22,20,0,Liberal,0.986001,6.47354e-06,0.0139929,0.981967,1,-0.544935,0.5
corrected,240-R-mPFC-S1-NE_2022_12_22,21,0,Liberal,0.985566,4.09909e-06,0.0144303,0.673969,1,-1.10638,0
corrected,240-R-mPFC-S1-NE_2022_12_22,22,0,Liberal,0.982658,5.95592e-06,0.017336,0.798091,1,0.111735,0.1
corrected,240-R-mPFC-S1-NE_2022_12_22,23,0,Liberal,0.978519,0.000103051,0.0213775,0.91597,1,0.818253,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,1,2,Engaged,0.0015966,0.25761,0.740793,0.366931,0,-0.287671,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,2,2,Engaged,0.000692908,0.263397,0.735911,0.0660819,0,-0.732889,0
corrected,240-R-mPFC-S1-NE_2022_12_23,3,2,Engaged,0.000418742,0.300131,0.699451,0.0639432,0,0.236844,0
corrected,240-R-mPFC-S1-NE_2022_12_23,4,2,Engaged,0.000331556,0.332087,0.667581,0.82785,1,0.146978,1
corrected,240-R-mPFC-S1-NE_2022_12_23,5,2,Engaged,0.000210422,0.425953,0.573836,0.0900419,0,0.284268,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,6,1,Conservative,0.000177581,0.578713,0.42111,0.443956,0,0.99096,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,7,2,Engaged,0.000143476,0.345415,0.654442,0.820942,1,-0.528687,1
corrected,240-R-mPFC-S1-NE_2022_12_23,8,2,Engaged,9.43162e-05,0.280271,0.719635,0.356385,0,-0.0280707,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,9,2,Engaged,9.11397e-05,0.238634,0.761275,0.876296,1,1.21432,1
corrected,240-R-mPFC-S1-NE_2022_12_23,10,2,Engaged,7.68819e-05,0.21619,0.783734,0.179827,0,0.857446,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,11,2,Engaged,9.22937e-05,0.155628,0.84428,0.411726,0,0.200694,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,12,2,Engaged,0.000176914,0.0530129,0.94681,0.972519,1,0.325727,1
corrected,240-R-mPFC-S1-NE_2022_12_23,13,2,Engaged,0.00022149,0.0084833,0.991295,0.219331,1,0.418754,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,14,2,Engaged,0.000187603,0.00159454,0.998218,0.968514,1,0.231267,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,15,2,Engaged,0.000137831,0.00135223,0.99851,0.999299,1,-0.74212,1
corrected,240-R-mPFC-S1-NE_2022_12_23,16,2,Engaged,8.33485e-05,0.000422467,0.999494,0.969585,1,-0.861084,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,17,2,Engaged,3.04605e-05,0.00375621,0.996213,0.135152,0,-0.71033,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,18,2,Engaged,2.16484e-05,0.0173328,0.982646,0.473107,0,1.27374,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,19,2,Engaged,1.89798e-05,0.00889523,0.991086,0.961887,1,-0.0501371,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,20,2,Engaged,9.44133e-06,0.0170033,0.982987,0.473249,0,-0.981824,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,21,2,Engaged,9.17051e-06,0.0302164,0.969774,0.215094,0,0.393982,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,22,2,Engaged,1.32587e-05,0.0262707,0.973716,0.986382,1,-0.694744,1
corrected,240-R-mPFC-S1-NE_2022_12_23,23,2,Engaged,1.3819e-05,0.0320167,0.96797,0.983403,1,-0.569962,1
corrected,240-R-mPFC-S1-NE_2022_12_23,24,2,Engaged,1.13809e-05,0.0583414,0.941647,0.454896,0,-0.179739,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,25,2,Engaged,1.40126e-05,0.0593462,0.94064,0.948663,1,-0.81253,0.5
corrected,240-R-mPFC-S1-NE_2022_12_23,26,2,Engaged,1.03816e-05,0.133223,0.866767,0.121275,0,-0.85497,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,27,2,Engaged,1.40062e-05,0.213717,0.786269,0.775719,0,-0.765057,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,28,2,Engaged,9.95848e-06,0.139816,0.860174,0.194289,0,-0.612083,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,29,2,Engaged,1.3354e-05,0.0184001,0.981587,0.984025,1,-1.15278,0.5
corrected,240-R-mPFC-S1-NE_2022_12_23,30,2,Engaged,8.58666e-06,0.0156975,0.984294,0.13386,0,0.0267662,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,31,2,Engaged,8.66986e-06,0.00433062,0.995661,0.966036,1,-0.554941,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,32,2,Engaged,2.76764e-06,0.00541212,0.994585,0.134958,0,-1.71875,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,33,2,Engaged,1.76148e-06,0.0109968,0.989001,0.218738,0,-0.345975,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,34,2,Engaged,3.05237e-06,0.0265826,0.973414,0.0783879,0,1.14957,0
corrected,240-R-mPFC-S1-NE_2022_12_23,35,2,Engaged,5.54687e-06,0.0287611,0.971233,0.975077,1,0.341414,0.5
corrected,240-R-mPFC-S1-NE_2022_12_23,36,2,Engaged,3.8934e-06,0.126339,0.873657,0.0730294,0,1.1621,0
corrected,240-R-mPFC-S1-NE_2022_12_23,37,2,Engaged,3.07638e-06,0.135295,0.864702,0.195144,0,-0.984622,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,38,2,Engaged,6.32637e-06,0.204915,0.795079,0.893775,1,0.989171,1
corrected,240-R-mPFC-S1-NE_2022_12_23,39,2,Engaged,3.8395e-06,0.266621,0.733376,0.362416,0,-0.101621,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,40,2,Engaged,3.80324e-06,0.27789,0.722106,0.357412,0,-0.731156,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,41,2,Engaged,6.07527e-06,0.252516,0.747478,0.0662524,0,-1.44946,0
corrected,240-R-mPFC-S1-NE_2022_12_23,42,2,Engaged,1.51546e-05,0.291717,0.708267,0.704823,1,0.656609,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,43,1,Conservative,5.34534e-06,0.832236,0.167759,0.213532,0,0.236296,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,44,1,Conservative,2.42165e-06,0.813228,0.18677,0.119719,0,-0.950489,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,45,1,Conservative,1.63172e-06,0.819633,0.180365,0.0357837,0,0.665659,0
corrected,240-R-mPFC-S1-NE_2022_12_23,46,1,Conservative,2.01381e-06,0.804491,0.195507,0.0681121,0,-0.301295,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,47,1,Conservative,4.39075e-06,0.778935,0.22106,0.596211,1,-0.597105,1
corrected,240-R-mPFC-S1-NE_2022_12_23,48,1,Conservative,1.61604e-06,0.826742,0.173256,0.0469989,0,0.746974,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,49,1,Conservative,1.0045e-06,0.843145,0.156854,0.0345202,0,-0.156682,0
corrected,240-R-mPFC-S1-NE_2022_12_23,50,1,Conservative,6.98784e-07,0.869591,0.130409,0.0946931,0,0.103325,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,51,1,Conservative,6.6403e-07,0.894764,0.105235,0.031747,0,0.713484,0
corrected,240-R-mPFC-S1-NE_2022_12_23,52,1,Conservative,5.42768e-07,0.931565,0.0684342,0.0297699,0,1.06916,0
corrected,240-R-mPFC-S1-NE_2022_12_23,53,1,Conservative,2.5738e-07,0.975577,0.0244231,0.0476346,0,1.27871,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,54,1,Conservative,1.82071e-07,0.990457,0.0095425,0.026606,0,0.691307,0
corrected,240-R-mPFC-S1-NE_2022_12_23,55,1,Conservative,4.13028e-08,0.999994,6.39496e-06,0.136277,0,-0.0546531,0.5
corrected,240-R-mPFC-S1-NE_2022_12_23,56,1,Conservative,1.12787e-07,0.998579,0.00142073,0.031268,0,1.36462,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,57,1,Conservative,1.04922e-07,0.998706,0.00129349,0.0261628,0,1.00736,0
corrected,240-R-mPFC-S1-NE_2022_12_23,58,1,Conservative,1.07187e-09,1,6.98979e-12,0.481614,0,0.212827,1
corrected,240-R-mPFC-S1-NE_2022_12_23,59,1,Conservative,1.17393e-07,0.998388,0.00161146,0.037506,0,0.196051,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,60,1,Conservative,1.05798e-07,0.998761,0.00123907,0.028576,0,0.484177,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,61,1,Conservative,7.05853e-08,0.999923,7.70448e-05,0.0611169,0,-0.476517,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,62,1,Conservative,2.91251e-07,1,1.64517e-09,0.481614,0,-0.838405,1
corrected,240-R-mPFC-S1-NE_2022_12_23,63,2,Engaged,9.93647e-05,0.19464,0.80526,0.831815,1,-0.32858,0.5
corrected,240-R-mPFC-S1-NE_2022_12_23,64,2,Engaged,8.82117e-05,0.109613,0.890299,0.870338,1,-0.145738,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,65,2,Engaged,5.9025e-05,0.128007,0.871934,0.423979,0,-0.363594,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,66,2,Engaged,5.60955e-05,0.139512,0.860432,0.843164,1,0.130561,0.25
corrected,240-R-mPFC-S1-NE_2022_12_23,67,1,Conservative,7.33104e-07,0.999999,1.78261e-08,0.481614,0,1.38322,1
corrected,240-R-mPFC-S1-NE_2022_12_23,68,1,Conservative,3.20629e-06,0.911317,0.0886793,0.0478342,0,-0.151725,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,69,1,Conservative,9.34833e-06,0.799207,0.200784,0.585702,1,-0.319089,1
corrected,240-R-mPFC-S1-NE_2022_12_23,70,1,Conservative,5.48298e-06,0.754641,0.245354,0.0775768,0,-0.350301,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,71,1,Conservative,6.14222e-06,0.654451,0.345543,0.190218,0,-1.26085,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,72,2,Engaged,1.22256e-05,0.447658,0.55233,0.767941,1,-1.77286,1
corrected,240-R-mPFC-S1-NE_2022_12_23,73,2,Engaged,4.54063e-06,0.404827,0.595168,0.0921847,0,-1.19145,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,74,2,Engaged,3.00818e-06,0.433853,0.566144,0.288164,0,0.964019,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,75,2,Engaged,2.94032e-06,0.370328,0.629669,0.0958784,0,-0.845927,0.025
corrected,240-R-mPFC-S1-NE_2022_12_23,76,2,Engaged,3.52497e-06,0.283583,0.716413,0.166995,0,-1.31813,0.05
corrected,240-R-mPFC-S1-NE_2022_12_23,77,2,Engaged,5.19227e-06,0.173382,0.826613,0.070503,0,-1.6923,0
corrected,240-R-mPFC-S1-NE_2022_12_23,78,2,Engaged,8.63088e-06,0.112118,0.887874,0.0737962,0,-1.18413,0
corrected,240-R-mPFC-S1-NE_2022_12_23,79,2,Engaged,1.86402e-05,0.042548,0.957433,0.46191,1,-1.56554,0.1
corrected,240-R-mPFC-S1-NE_2022_12_23,80,2,Engaged,1.37071e-05,0.0814734,0.918513,0.0754455,0,-0.0944992,0
corrected,240-R-mPFC-S1-NE_2022_12_23,81,2,Engaged,1.45735e-05,0.0942388,0.905747,0.918528,1,-1.1419,0.5
