model,K,fold,accuracy,roc_auc,pr_auc,bits_per_trial
corrected,1,0,0.79043,0.8607,0.8554,-0.73149
corrected,1,1,0.77439,0.83249,0.73183,-0.99984
corrected,1,2,0.78673,0.89387,0.91209,-0.70144
corrected,1,3,0.8093,0.89897,0.88851,-0.68247
corrected,1,4,0.76091,0.85265,0.87532,-0.73009
corrected,2,0,0.86149,0.94517,0.96332,-0.57048
corrected,2,1,0.86646,0.95326,0.95014,-0.59626
corrected,2,2,0.85894,0.9492,0.97105,-0.55665
corrected,2,3,0.89204,0.96686,0.97634,-0.5295
corrected,2,4,0.84899,0.93604,0.96209,-0.62459
corrected,3,0,0.8789,0.96699,0.97448,-0.50211
corrected,3,1,0.85427,0.95872,0.95264,-0.55141
corrected,3,2,0.88329,0.97255,0.98164,-0.45672
corrected,3,3,0.87313,0.97307,0.97891,-0.49501
corrected,3,4,0.84732,0.9556,0.969,-0.54807
corrected,4,0,0.88252,0.96829,0.97693,-0.48631
corrected,4,1,0.86159,0.95998,0.94823,-0.55412
corrected,4,2,0.88497,0.97775,0.98542,-0.44874
corrected,4,3,0.87707,0.97257,0.97941,-0.48807
corrected,4,4,0.85906,0.96492,0.97604,-0.54724
pupil_in_obs,3,0,0.88687,0.96046,0.96976,-0.49395
pupil_in_obs,3,1,0.85732,0.95117,0.94358,-0.55958
pupil_in_obs,3,2,0.88917,0.96809,0.97936,-0.44871
pupil_in_obs,3,3,0.88101,0.96834,0.97513,-0.49181
pupil_in_obs,3,4,0.86661,0.95185,0.96716,-0.52981
