model,K,fold,test_ll_per_trial,test_acc
corrected,1,0,-0.50703,0.79043
corrected,1,1,-0.69304,0.77439
corrected,1,2,-0.4862,0.78673
corrected,1,3,-0.47305,0.8093
corrected,1,4,-0.50606,0.76091
corrected,2,0,-0.39543,0.86149
corrected,2,1,-0.41329,0.86646
corrected,2,2,-0.38584,0.85894
corrected,2,3,-0.36702,0.89204
corrected,2,4,-0.43293,0.84899
corrected,3,0,-0.34804,0.8789
corrected,3,1,-0.38221,0.85427
corrected,3,2,-0.31658,0.88329
corrected,3,3,-0.34311,0.87313
corrected,3,4,-0.3799,0.84732
corrected,4,0,-0.33708,0.88252
corrected,4,1,-0.38409,0.86159
corrected,4,2,-0.31104,0.88497
corrected,4,3,-0.33831,0.87707
corrected,4,4,-0.37932,0.85906
pupil_in_obs,3,0,-0.34238,0.88687
pupil_in_obs,3,1,-0.38787,0.85732
pupil_in_obs,3,2,-0.31102,0.88917
pupil_in_obs,3,3,-0.3409,0.88101
pupil_in_obs,3,4,-0.36723,0.86661
