model,K,fold,accuracy,roc_auc,pr_auc,bits_per_trial
pupil,2,0,0.89117,0.97652,0.98108,-0.52388
pupil,2,1,0.84427,0.93904,0.94735,-0.56264
pupil,2,2,0.84713,0.94723,0.95821,-0.64966
pupil,2,3,0.86317,0.94802,0.96265,-0.60644
pupil,2,4,0.87544,0.95222,0.96953,-0.59203
pupil,3,0,0.88432,0.97849,0.98128,-0.47969
pupil,3,1,0.85405,0.96404,0.96528,-0.50446
pupil,3,2,0.88345,0.96849,0.97206,-0.5553
pupil,3,3,0.86476,0.96092,0.96681,-0.5228
pupil,3,4,0.8614,0.96437,0.97413,-0.547
pupil,4,0,0.89041,0.98414,0.98653,-0.45631
pupil,4,1,0.85754,0.95891,0.96093,-0.49357
pupil,4,2,0.89189,0.95932,0.96893,-0.58261
pupil,4,3,0.87112,0.97027,0.97124,-0.52223
pupil,4,4,0.86842,0.97005,0.97896,-0.53499
pupil_ne,2,0,0.89117,0.97693,0.98161,-0.51653
pupil_ne,2,1,0.84427,0.94044,0.9483,-0.55909
pupil_ne,2,2,0.84797,0.94513,0.95704,-0.65392
pupil_ne,2,3,0.86237,0.94748,0.96362,-0.60512
pupil_ne,2,4,0.87544,0.95276,0.96942,-0.59258
pupil_ne,3,0,0.88813,0.97955,0.98231,-0.47172
pupil_ne,3,1,0.85265,0.96346,0.96441,-0.49854
pupil_ne,3,2,0.88176,0.96651,0.97063,-0.56396
pupil_ne,3,3,0.86476,0.96244,0.96855,-0.52287
pupil_ne,3,4,0.8614,0.96376,0.97362,-0.54605
pupil_ne,4,0,0.88889,0.98371,0.9861,-0.45946
pupil_ne,4,1,0.85754,0.95921,0.96129,-0.49255
pupil_ne,4,2,0.88598,0.96474,0.97074,-0.58172
pupil_ne,4,3,0.87669,0.97055,0.97253,-0.52246
pupil_ne,4,4,0.87807,0.97242,0.98053,-0.53291
