model,K,fold,accuracy,roc_auc,pr_auc,bits_per_trial
Pupil,1,1,0.846,0.918,0.922,-0.635
Pupil,1,2,0.752,0.8,0.76,-0.892
Pupil,1,3,0.729,0.797,0.797,-0.859
Pupil,1,4,0.788,0.881,0.903,-0.701
Pupil,1,5,0.791,0.879,0.914,-0.676
Pupil,2,1,0.894,0.965,0.973,-0.523
Pupil,2,2,0.842,0.923,0.936,-0.574
Pupil,2,3,0.845,0.939,0.951,-0.639
Pupil,2,4,0.863,0.937,0.955,-0.597
Pupil,2,5,0.873,0.94,0.961,-0.587
Pupil,3,1,0.892,0.973,0.977,-0.474
Pupil,3,2,0.869,0.953,0.955,-0.505
Pupil,3,3,0.887,0.968,0.972,-0.547
Pupil,3,4,0.877,0.959,0.966,-0.51
Pupil,3,5,0.862,0.957,0.97,-0.542
Pupil,4,1,0.898,0.973,0.978,-0.475
Pupil,4,2,0.865,0.949,0.952,-0.505
Pupil,4,3,0.892,0.966,0.972,-0.567
Pupil,4,4,0.89,0.968,0.974,-0.51
Pupil,4,5,0.87,0.964,0.975,-0.53
Pupil+NE,2,1,0.893,0.964,0.973,-0.516
Pupil+NE,2,2,0.843,0.924,0.937,-0.57
Pupil+NE,2,3,0.84,0.937,0.951,-0.643
Pupil+NE,2,4,0.859,0.937,0.953,-0.597
Pupil+NE,2,5,0.875,0.94,0.961,-0.588
Pupil+NE,3,1,0.9,0.973,0.978,-0.469
Pupil+NE,3,2,0.865,0.953,0.955,-0.501
Pupil+NE,3,3,0.885,0.966,0.971,-0.554
Pupil+NE,3,4,0.878,0.96,0.968,-0.51
Pupil+NE,3,5,0.865,0.958,0.969,-0.54
Pupil+NE,4,1,0.903,0.976,0.981,-0.45
Pupil+NE,4,2,0.88,0.959,0.962,-0.517
Pupil+NE,4,3,0.893,0.964,0.97,-0.557
Pupil+NE,4,4,0.877,0.959,0.966,-0.506
Pupil+NE,4,5,0.875,0.963,0.974,-0.529
