state,label,outcome,n,pct,animal_240,animal_241,animal_242,animal_243,underpowered
0,Liberal,Hit,881,75.8,265,68,25,523,0
0,Liberal,Miss,130,11.2,32,13,0,85,1
0,Liberal,CR,50,4.3,9,6,1,34,0
0,Liberal,FA,101,8.7,31,4,2,64,0
2,Engaged,Hit,2517,56.0,749,286,722,760,0
2,Engaged,Miss,1351,30.0,435,152,363,401,0
2,Engaged,CR,617,13.7,197,61,191,168,0
2,Engaged,FA,12,0.3,5,1,4,2,1
1,Conservative,Hit,93,9.2,23,20,41,9,0
1,Conservative,Miss,784,77.5,323,94,286,81,0
1,Conservative,CR,133,13.1,59,17,42,15,0
1,Conservative,FA,2,0.2,1,0,1,0,1
